# Created by Octave 4.0.0, Tue May 01 19:52:28 2018 CEST <olethros@olethros-OptiPlex-9010>
# name: results
# type: struct
# ndims: 2
 1 5
# length: 3
# name: PU
# type: cell
# rows: 1
# columns: 5
# name: <cell-element>
# type: matrix
# rows: 601
# columns: 2
 -0.2450808359866111 -0.244155873057057
 -0.2464768439303235 -0.2468762178568966
 -0.2465151665577139 -0.2447342258625981
 -0.2461275662067114 -0.2451420845207667
 -0.2467341338762406 -0.2475109629959984
 -0.2474458029859239 -0.2457936932651633
 -0.2444928325731408 -0.2461681462144348
 -0.2456269344515147 -0.2457659399666475
 -0.2452330799363067 -0.2464800087619856
 -0.2453408584577875 -0.2453950041792298
 -0.2454039255309385 -0.2447361156831141
 -0.245723358881948 -0.2438961455524467
 -0.2451940213781039 -0.2434287706829327
 -0.2460596463950392 -0.245314165990732
 -0.2449414863060703 -0.2465747711084091
 -0.2453544988883968 -0.2459345778301743
 -0.2449834269763069 -0.2464928976585716
 -0.2442403371816447 -0.2453379530633903
 -0.2473515616962572 -0.2459419532612927
 -0.2443586661332597 -0.2452582356097299
 -0.2453804791306475 -0.2475298988410733
 -0.2450925663568581 -0.246819443646915
 -0.2450449131625066 -0.2421205999487225
 -0.2457154671211007 -0.2459570841240792
 -0.2467809504016904 -0.2451256281623448
 -0.2448380314983294 -0.2435852251799699
 -0.245134338485706 -0.2459121001010962
 -0.24397032827048 -0.2445587712985815
 -0.2469018296038034 -0.2451379135383258
 -0.2463439031954552 -0.245065550066324
 -0.2451125641082905 -0.2473662420073811
 -0.2458424111148774 -0.2432412895743485
 -0.2454388397425608 -0.2468763264955066
 -0.2441210791911932 -0.2462905979260828
 -0.2439468142427648 -0.2458526052139972
 -0.2447532326603549 -0.2460417983468659
 -0.245699613542302 -0.2449958373965972
 -0.2450646201961735 -0.245138201872015
 -0.2447469120045951 -0.2456360112898452
 -0.2451478021983537 -0.2470223266177825
 -0.2435506554229203 -0.2473673297765851
 -0.2446684017477931 -0.2436494261158718
 -0.2463143461195505 -0.2446606634819906
 -0.2447411290297289 -0.2445965425351439
 -0.2459267348102343 -0.2452907657358301
 -0.2478817167679179 -0.2454212437481193
 -0.2447619709056642 -0.2463840386163955
 -0.2458042753922052 -0.2453524196386539
 -0.2443512805095922 -0.2464341788995784
 -0.2459981757486388 -0.2444425617800652
 -0.2467682883550265 -0.2446508670376221
 -0.2452549966038867 -0.2467477540088537
 -0.2448561148059557 -0.244816844063155
 -0.2449776220564328 -0.2466768401388414
 -0.2440638822869093 -0.2459634727129266
 -0.2476564531439372 -0.2459954927307716
 -0.2437834246133307 -0.2429305212658088
 -0.2457679687772995 -0.2464410652376309
 -0.2434362056046721 -0.2453275935074503
 -0.2450876627692481 -0.2447051941915496
 -0.2456398300753416 -0.2463195108165908
 -0.2467748711079435 -0.2465337403434601
 -0.2463692806539019 -0.2424822460369284
 -0.2456206605298308 -0.2459753024169985
 -0.2460086959167772 -0.2477520687284709
 -0.2443548007919964 -0.2466752538044255
 -0.2453394368974501 -0.2454627041328834
 -0.2446740913670701 -0.2458664947911471
 -0.2448046961021696 -0.2468087064658936
 -0.2447619254822687 -0.2438174400765897
 -0.2452316826218995 -0.2452033932801999
 -0.2464932841974614 -0.242984076236295
 -0.244834075196617 -0.2445572474129936
 -0.2462254486165258 -0.24565613968132
 -0.2433875620573452 -0.2474567832404994
 -0.2457150433508146 -0.245774543702216
 -0.2451653306201058 -0.2460853873438611
 -0.2469472725042518 -0.2463087485157477
 -0.2448354480533744 -0.245114049329017
 -0.2456369179342434 -0.2441353716441561
 -0.2467393375661036 -0.2453664740242369
 -0.245398771784422 -0.2452786715536421
 -0.2448771755887042 -0.2458748783443962
 -0.2448658856581747 -0.2456374967698937
 -0.2453257114907772 -0.2453028688702482
 -0.244216505219123 -0.2456564301051365
 -0.2467641039836863 -0.2447880609043964
 -0.2443073736762102 -0.2445998119149477
 -0.2456555091144926 -0.2452467201436717
 -0.2457511934469758 -0.2441619465644454
 -0.2465425030612426 -0.248508130362085
 -0.2456025790058348 -0.2450426340616453
 -0.2427272085112097 -0.2441434548698028
 -0.2456109004185033 -0.2455310448158672
 -0.2469014204802758 -0.2436350795863107
 -0.2468439394508505 -0.2438011302091321
 -0.2479953869070251 -0.2448847614760832
 -0.2452491777795935 -0.2447453666077932
 -0.2454039594939847 -0.2449315207112327
 -0.2461351490483427 -0.2467143992328562
 -0.2453300336355476 -0.2460226210075417
 -0.2473634627016424 -0.2441782153818419
 -0.2450504026677567 -0.2460280512441936
 -0.2452823893550976 -0.2460030907419786
 -0.2456423497083934 -0.2454633239017611
 -0.2453005279675635 -0.2445809282324196
 -0.2447534174779364 -0.2441200322620626
 -0.2463299879243314 -0.2461642413820257
 -0.2471137100942058 -0.2438111907323894
 -0.2466239739618944 -0.2478233597834701
 -0.2454718177400696 -0.2443798498477287
 -0.2462311379876163 -0.2431188207594025
 -0.2432771035255036 -0.245072408158869
 -0.2435449008217996 -0.246311893478985
 -0.2467082892809225 -0.2468479453194676
 -0.245279739692442 -0.2465074393359546
 -0.2453697379649777 -0.2467526358356435
 -0.2440785827916027 -0.2435222317903127
 -0.244771544888706 -0.2433292755825743
 -0.2462617072969976 -0.2451127413010915
 -0.2424904372876575 -0.2436155673577405
 -0.2457573081963209 -0.2442668824852893
 -0.2451173300709731 -0.2468022924273069
 -0.2428697976307404 -0.2465300013717835
 -0.2441327436659773 -0.2451768282394722
 -0.2449780469182628 -0.2447160306581645
 -0.2444979847549562 -0.2443515833226741
 -0.2464308382456676 -0.2456456528843721
 -0.2448281238432899 -0.2461029993416068
 -0.2460275277239015 -0.2488446327699017
 -0.2459515511154366 -0.2470841414436164
 -0.2456362995346416 -0.2458739867125387
 -0.2463573244475035 -0.2443999125935086
 -0.2465265957336276 -0.2450069201195155
 -0.2442489336502625 -0.2468574953847643
 -0.2476569701198636 -0.2459405527279178
 -0.244960851727948 -0.2470329552141577
 -0.2462473822733818 -0.2443765395378824
 -0.2460938692919813 -0.2447284503780674
 -0.2449518414237037 -0.2442101047790297
 -0.2466761686722998 -0.2468189339592618
 -0.2453574939751284 -0.2435375904782401
 -0.2442187561275374 -0.2458457705914191
 -0.2435412158388071 -0.2435628291554683
 -0.2464840908711553 -0.2436880585055304
 -0.2455433987095217 -0.2466852828320304
 -0.246534401080915 -0.2456517127921218
 -0.2440627332169341 -0.2452071582008683
 -0.2439535054695205 -0.244998447117193
 -0.2434281929163988 -0.2440691907777221
 -0.2443976688250989 -0.2433975240810234
 -0.2448728773382207 -0.2430009439055788
 -0.2441478950217786 -0.2430536134520797
 -0.2449946268754101 -0.2450068082169294
 -0.2450760612613 -0.2454176568606649
 -0.2438548377191579 -0.245617399509048
